player_id,country_name,team_name,player_name,player_nickname
212489,Côte d'Ivoire,Côte d'Ivoire,Oumar Diakité,
196109,Côte d'Ivoire,Côte d'Ivoire,Ousmane Diomande,
42282,Côte d'Ivoire,Real Betis,Paul Edgar Akouokou,
16024,Côte d'Ivoire,Leganés,Roger Claver Assalé Djapone,Roger Assalé
8575,Côte d'Ivoire,Hertha Berlin,Salomon Armand Magloire Kalou,Salomon Kalou
8575,Côte d'Ivoire,Chelsea,Salomon Armand Magloire Kalou,Salomon Kalou
7791,Côte d'Ivoire,Côte d'Ivoire,Seko Fofana,
7791,Côte d'Ivoire,Bastia,Seko Fofana,
7791,Côte d'Ivoire,Lens,Seko Fofana,
34558,Côte d'Ivoire,VfB Stuttgart,Sereso Geoffroy Gonzaroua Dié,Geoffroy Serey Dié
3481,Côte d'Ivoire,Côte d'Ivoire,Serge Aurier,
3481,Côte d'Ivoire,Paris Saint-Germain,Serge Aurier,
3481,Côte d'Ivoire,Tottenham Hotspur,Serge Aurier,
17276,Côte d'Ivoire,Girona,Seydou Doumbia,
17276,Côte d'Ivoire,Newcastle United,Seydou Doumbia,
105392,Côte d'Ivoire,Côte d'Ivoire,Simon Adingra,
39018,Côte d'Ivoire,Lyon,Sinaly Diomande,Sinaly Diomandé
23319,Côte d'Ivoire,Angers,Souleyman Doumbia,
28352,Côte d'Ivoire,Lorient,Stéphane Diarra,
8673,Côte d'Ivoire,Borussia Dortmund,Sébastien Haller,
8673,Côte d'Ivoire,Côte d'Ivoire,Sébastien Haller,
3408,Côte d'Ivoire,Bordeaux,Thomas Touré,
400621,Côte d'Ivoire,Eintracht Frankfurt,Tohouri Zahoui Constant Djakpa,
12162,Côte d'Ivoire,Granada,Victorien Angban,
3598,Côte d'Ivoire,Manchester City,Wilfried Guemiand Bony,Wilfried Bony
36539,Côte d'Ivoire,Côte d'Ivoire,Wilfried Stephane Singo,
3507,Côte d'Ivoire,Crystal Palace,Wilfried Zaha,
9933,Côte d'Ivoire,Côte d'Ivoire,Willy Boly,
36629,Côte d'Ivoire,Côte d'Ivoire,Yahia Fofana,
7236,Côte d'Ivoire,Paris Saint-Germain,Yakou Meïté,
