country_name
Albania
Algeria
Angola
Argentina
Armenia
Australia
Austria
Azerbaijan
Belarus
Belgium
Benin
Bermuda
Bhutan
Bolivia
Bosnia and Herzegovina
Brazil
Bulgaria
Burkina Faso
Burundi
Cameroon
Canada
Cape Verde
Central African Republic
Chad
Chile
China
Colombia
Comoros
"Congo, (Kinshasa)"
Congo (Brazzaville)
Costa Rica
Croatia
Curaçao
Czech Republic
Côte d'Ivoire
Denmark
Dominican Republic
Ecuador
Egypt
El Salvador
England
Equatorial Guinea
Estonia
Europe
Fiji
Finland
France
French Guiana
Gabon
Gambia
Georgia
Germany
Ghana
Gibraltar
Greece
Grenada
Guadeloupe
Guinea
Guinea-Bissau
Guyana
Haiti
Honduras
Hungary
Iceland
India
International
"Iran, Islamic Republic of"
Iraq
Ireland
Israel
Italy
Jamaica
Japan
Kazakhstan
Kenya
Korea (South)
Kosovo
Kyrgyzstan
Lao PDR
Latvia
Libya
Liechtenstein
Lithuania
Luxembourg
"Macedonia, Republic of"
Madagascar
Malaysia
Mali
Martinique
Mauritania
Mauritius
Mexico
Moldova
Monaco
Montenegro
Morocco
Mozambique
Namibia
Nepal
Netherlands
New Caledonia
New Zealand
Nigeria
Northern Ireland
Norway
Panama
Paraguay
Peru
Philippines
Poland
Portugal
Qatar
Romania
Russia
San Marino
Saudi Arabia
Scotland
Senegal
Serbia
Sierra Leone
Slovakia
Slovenia
South Africa
Spain
Suriname
Sweden
Switzerland
"Tanzania, United Republic of"
Thailand
Togo
Trinidad and Tobago
Tunisia
Turkey
Ukraine
United States of America
Uruguay
Venezuela (Bolivarian Republic)
Vietnam
Wales
Zambia
Zimbabwe

